"unit","variable","mean","sd","DBH","CWD","site","pft","model"
"490","treat_mean[Thin]",-1.44343199572071,0.140656090637716,15,3,"Blodgett","cedar","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.05240861952954,0.171417206786142,15,3,"Blodgett","cedar","ddbh_model"
"590","treat_mean[None]",-1.94576933539221,0.113378566319109,15,3,"Blodgett","cedar","ddbh_model"
"40","treat_mean[None]",-2.65101907241681,0.137375389191257,15,-3,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.96696790870436,0.152684981617114,15,-3,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.87738719455001,0.264541739745104,15,-3,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-1.47158218989907,0.169008623668214,15,-3,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-2.42006929059971,0.128923103809125,15,-3,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-2.04833701777164,0.144181755198701,15,-3,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-1.46580485519984,0.150502957724289,15,-3,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.66521819653029,0.269268216687197,15,-3,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.9092631210212,0.150739406052043,15,-3,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-1.42383775668904,0.155729370202001,15,-3,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.26246924364883,0.277125443019857,15,-3,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-2.02895195258012,0.121222682142855,15,-3,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-2.45848660298007,0.124778154339306,15,-2,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.86030800617207,0.139289965163572,15,-2,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.72398463590478,0.243857783704026,15,-2,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-1.3270158873214,0.156396238273931,15,-2,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-2.22753682116297,0.11627683993464,15,-2,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.94167711523934,0.130030788547685,15,-2,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-1.32123855262217,0.136494191214071,15,-2,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.51181563788505,0.248501387080898,15,-2,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.80260321848891,0.13747461445118,15,-2,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-1.27927145411138,0.141736765058215,15,-2,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.1090666850036,0.256798150697597,15,-2,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-1.83641948314338,0.108607615945977,15,-2,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-2.26595413354332,0.1148888164008,15,-1,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.75364810363978,0.128618733443366,15,-1,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.57058207725955,0.227174444343062,15,-1,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-1.18244958474374,0.146536620067285,15,-1,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-2.03500435172622,0.106544368238645,15,-1,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.83501721270705,0.118658024684147,15,-1,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-1.17667225004451,0.125409399125833,15,-1,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.35841307923982,0.231641596282327,15,-1,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.69594331595661,0.126997102776144,15,-1,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-1.13470515153371,0.130553872394957,15,-1,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.955664126358362,0.240311032036247,15,-1,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-1.64388701370664,0.0991390533836629,15,-1,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-2.07342166410658,0.108450701041572,15,0,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.64698820110749,0.121391746850182,15,0,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.41717951861431,0.215423212621076,15,0,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-1.03788328216607,0.14001252764573,15,0,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-1.84247188228948,0.100575162889933,15,0,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.72835731017476,0.110921328368401,15,0,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-1.03210594746684,0.118074975102758,15,0,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.20501052059458,0.219590623113067,15,0,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.58928341342432,0.120038960433788,15,0,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-0.99013884895605,0.122949769531971,15,0,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.802261567713128,0.228496864133434,15,0,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-1.45135454426989,0.0937750055128083,15,0,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-1.88088919466984,0.106093972814757,15,1,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.5403282985752,0.118242239608178,15,1,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.26377695996908,0.209435946755227,15,1,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-0.893316979588407,0.13730026939975,15,1,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-1.64993941285274,0.0990519382247507,15,1,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.62169740764247,0.107607847137343,15,1,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-0.887539644889178,0.115209423678909,15,1,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.05160796194935,0.213165609970305,15,1,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.48262351089203,0.117228551743894,15,1,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-0.845572546378385,0.119608976507226,15,1,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.648859009067893,0.222102599271523,15,1,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-1.25882207483315,0.0932266780531425,15,1,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-1.68835672523309,0.108085936493178,15,2,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.43366839604291,0.119493061159353,15,2,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.11037440132384,0.20970692390667,15,2,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-0.748750677010741,0.138623768738397,15,2,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-1.45740694341599,0.102173732586226,15,2,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.51503750511018,0.109121262169721,15,2,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-0.742973342311513,0.117141162986505,15,2,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-0.898205403304115,0.212876573799716,15,2,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.37596360835974,0.118860456331671,15,2,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-0.70100624380072,0.120885474300027,15,2,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.495456450422659,0.221597913283015,15,2,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-1.06628960539641,0.0975752910910334,15,2,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-1.49582425579635,0.114199257249662,15,3,"Blodgett","fir","ddbh_model"
"60","treat_mean[Burn]",-1.32700849351061,0.125012197470343,15,3,"Blodgett","fir","ddbh_model"
"180","treat_mean[Burn+Thin]",-0.956971842678607,0.216212615171742,15,3,"Blodgett","fir","ddbh_model"
"190","treat_mean[Thin]",-0.604184374433076,0.143871691947111,15,3,"Blodgett","fir","ddbh_model"
"240","treat_mean[None]",-1.26487447397925,0.109544141257769,15,3,"Blodgett","fir","ddbh_model"
"340","treat_mean[Burn]",-1.40837760257789,0.115271611262047,15,3,"Blodgett","fir","ddbh_model"
"350","treat_mean[Thin]",-0.598407039733848,0.12364554997949,15,3,"Blodgett","fir","ddbh_model"
"380","treat_mean[Burn+Thin]",-0.74480284465888,0.218747838744218,15,3,"Blodgett","fir","ddbh_model"
"400","treat_mean[Burn]",-1.26930370582745,0.124760475424838,15,3,"Blodgett","fir","ddbh_model"
"490","treat_mean[Thin]",-0.556439941223054,0.126639716261818,15,3,"Blodgett","fir","ddbh_model"
"570","treat_mean[Burn+Thin]",-0.342053891777424,0.227022088404353,15,3,"Blodgett","fir","ddbh_model"
"590","treat_mean[None]",-0.873757135959664,0.10622110642878,15,3,"Blodgett","fir","ddbh_model"
"40","treat_mean[None]",-2.8464682948997,0.291202502964958,15,-3,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.99831197524718,0.351174227977665,15,-3,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-2.18296650315702,0.382373376908042,15,-3,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-4.41642952880387,0.853391142286057,15,-3,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-2.8206812950318,0.276429603379255,15,-3,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-1.95620445117661,0.373301054438664,15,-3,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-4.49224447714388,0.858745479285389,15,-3,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-2.22631703648783,0.39383301825297,15,-3,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-2.03819202960592,0.35612932493898,15,-3,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-4.51153354388079,0.830145327450138,15,-3,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-2.16460249408826,0.382228074324121,15,-3,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-2.92433313184701,0.287607585711182,15,-3,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-2.74907100834921,0.274092324264967,15,-2,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.95926510898949,0.326312992311605,15,-2,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-2.13187191173783,0.367588495125483,15,-2,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-4.21519377558297,0.820084842424723,15,-2,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-2.72328400848131,0.258930211189023,15,-2,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-1.91715758491892,0.349829047757594,15,-2,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-4.29100872392298,0.825618348905295,15,-2,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-2.17522244506864,0.379048880363478,15,-2,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-1.99914516334822,0.331605868941059,15,-2,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-4.3102977906599,0.796946071520806,15,-2,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-2.11350790266908,0.367326627932664,15,-2,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-2.82693584529652,0.27057528253982,15,-2,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-2.65167372179872,0.262910950663847,15,-1,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.92021824273179,0.307404388935413,15,-1,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-2.08077732031865,0.356047168215182,15,-1,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-4.01395802236208,0.792661702689923,15,-1,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-2.62588672193083,0.247677702222975,15,-1,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-1.87811071866122,0.332065515967419,15,-1,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-4.08977297070209,0.798347190762979,15,-1,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-2.12412785364946,0.367407189652357,15,-1,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-1.96009829709052,0.312981257235272,15,-1,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-4.109062037439,0.769815261105948,15,-1,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-2.06241331124989,0.355662458294535,15,-1,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-2.72953855874604,0.25956059977291,15,-1,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-2.55427643524823,0.258429090868355,15,0,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.88117137647409,0.295592974463046,15,0,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-2.02968272889946,0.348072193810936,15,0,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-3.81272226914118,0.771749130314907,15,0,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-2.52848943538034,0.243539514988007,15,0,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-1.83906385240352,0.320959670307948,15,0,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-3.88853721748119,0.77754841331148,15,0,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-2.07303326223027,0.359213605221955,15,0,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-1.92105143083282,0.301351192588887,15,0,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-3.9078262842181,0.749412270145622,15,0,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-2.01131871983071,0.347561647419154,15,0,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-2.63214127219555,0.255343469972354,15,0,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-2.45687914869775,0.260992113492345,15,1,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.8421245102164,0.29174203261927,15,1,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.97858813748028,0.343911762054658,15,1,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-3.61148651592028,0.757886260903551,15,1,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-2.43109214882985,0.246873667718562,15,1,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-1.80001698614583,0.317211556951227,15,1,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-3.68730146426029,0.763750975240805,15,1,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-2.02193867081109,0.35470715697564,15,1,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-1.88200456457513,0.297537012821386,15,1,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-3.70659053099721,0.736296600665814,15,1,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.96022412841152,0.343276557804631,15,1,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-2.53474398564506,0.258257103737057,15,1,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-2.35948186214726,0.270399764928594,15,2,"Blodgett","yellow_pine","ddbh_model"
"60","treat_mean[Burn]",-1.8030776439587,0.296162251935475,15,2,"Blodgett","yellow_pine","ddbh_model"
"180","treat_mean[Burn+Thin]",-1.92749354606109,0.343704422316031,15,2,"Blodgett","yellow_pine","ddbh_model"
"190","treat_mean[Thin]",-3.41025076269939,0.751463350992541,15,2,"Blodgett","yellow_pine","ddbh_model"
"240","treat_mean[None]",-2.33369486227937,0.257389940625342,15,2,"Blodgett","yellow_pine","ddbh_model"
"340","treat_mean[Burn]",-1.76097011988813,0.321078950715259,15,2,"Blodgett","yellow_pine","ddbh_model"
"350","treat_mean[Thin]",-3.4860657110394,0.757337631716123,15,2,"Blodgett","yellow_pine","ddbh_model"
"380","treat_mean[Burn+Thin]",-1.9708440793919,0.354028674132198,15,2,"Blodgett","yellow_pine","ddbh_model"
"400","treat_mean[Burn]",-1.84295769831743,0.301835162882587,15,2,"Blodgett","yellow_pine","ddbh_model"
"490","treat_mean[Thin]",-3.50535477777631,0.730860682177715,15,2,"Blodgett","yellow_pine","ddbh_model"
"570","treat_mean[Burn+Thin]",-1.90912953699233,0.34295024913907,15,2,"Blodgett","yellow_pine","ddbh_model"
"590","treat_mean[None]",-2.43734669909458,0.268069089739686,15,2,"Blodgett","yellow_pine","ddbh_model"
"40","treat_mean[None]",-2.26208457559678,0.285977348249398,15,3,"Blodgett","yellow_pine","ddbh_model"
