"variable","mean","site","pft","model"
"treat_cwd[Burn]",-0.194484056767122,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_cwd[Burn+Thin]",-0.0381099931318321,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_cwd[Thin]",-0.101670314738899,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_cwd[None]",-0.0307919913602418,"Sequoia_Tharp15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_cwd[Burn]",0.0138108295374267,"Sequoia_Tharp15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_cwd[None]",-0.184324903385594,"UPFUb","fir","ddbh_model_noBAcwdIrctnSizeTreePrior"
"treat_cwd[Thin]",0.193721238246288,"UPFUb","fir","ddbh_model_noBAcwdIrctnSizeTreePrior"
"treat_size[None]",0.614016905534485,"Blodgett","cedar","ddbh_model"
"treat_size[Burn]",0.58120343215352,"Blodgett","cedar","ddbh_model"
"treat_size[Burn+Thin]",0.257418326130182,"Blodgett","cedar","ddbh_model"
"treat_size[Thin]",0.508634376527217,"Blodgett","cedar","ddbh_model"
"treat_size[None]",0.532822065114847,"Blodgett","fir","ddbh_model"
"treat_size[Burn]",0.476025776836048,"Blodgett","fir","ddbh_model"
"treat_size[Burn+Thin]",0.255113251306743,"Blodgett","fir","ddbh_model"
"treat_size[Thin]",0.328317777483657,"Blodgett","fir","ddbh_model"
"treat_size[None]",0.730479444199954,"Blodgett","yellow_pine","ddbh_model"
"treat_size[Burn]",0.561262961613188,"Blodgett","yellow_pine","ddbh_model"
"treat_size[Burn+Thin]",0.589399673023577,"Blodgett","yellow_pine","ddbh_model"
"treat_size[Thin]",1.05158564676267,"Blodgett","yellow_pine","ddbh_model"
"treat_size[None]",0.594986244577805,"Blodgett","white_pine","ddbh_model"
"treat_size[Burn]",0.595777216331776,"Blodgett","white_pine","ddbh_model"
"treat_size[Burn+Thin]",0.250150670882564,"Blodgett","white_pine","ddbh_model"
"treat_size[Thin]",0.223211793239003,"Blodgett","white_pine","ddbh_model"
