"unit","variable","mean","sd","site","pft","model"
"un1","treat_mean[None]",-1.50522356367857,0.161223157269309,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"un2","treat_mean[None]",-1.69141128262894,0.061923231870343,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"un3","treat_mean[None]",-1.55488298015175,0.0740380901053192,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"us1","treat_mean[Thin]",-0.76547240774221,0.129128337942098,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"us2","treat_mean[Thin]",-0.506628019199442,0.135073091982822,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"us3","treat_mean[Thin]",-0.687006541160034,0.0635554075919652,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"bc1","treat_mean[Burn+Thin]",-1.00468109243529,0.0330525995407068,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bc2","treat_mean[Burn+Thin]",-0.884737522082522,0.0466179378242199,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bc3","treat_mean[Burn+Thin]",-0.806490721809839,0.0441699147680135,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bn1","treat_mean[Burn]",-1.1931715645885,0.0252584231548002,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bn2","treat_mean[Burn]",-1.3228455797883,0.0289080169260225,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bn3","treat_mean[Burn]",-1.28204330150182,0.0300325494892188,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bs1","treat_mean[Burn+Thin]",-0.904926256384298,0.0571631390450671,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bs2","treat_mean[Burn+Thin]",-0.846820303192818,0.038098116998196,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"bs3","treat_mean[Burn+Thin]",-0.811749841860898,0.0483481043426654,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"uc1","treat_mean[Thin]",-1.19054555785242,0.0305812580905801,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"uc2","treat_mean[Thin]",-0.87278418136787,0.0329753196475696,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"uc3","treat_mean[Thin]",-0.923726226082308,0.0302760997618004,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"un1","treat_mean[None]",-1.4589290656621,0.0262132546763505,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"un2","treat_mean[None]",-1.37505784590628,0.0284457262070727,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"un3","treat_mean[None]",-1.58930101541554,0.0283168787155665,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"us1","treat_mean[Thin]",-0.772392125367266,0.0322477938700907,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"us2","treat_mean[Thin]",-0.774491343542195,0.0365097119247714,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"us3","treat_mean[Thin]",-0.831903187975465,0.0414370943060081,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
