PlotID,Latitude,Longitude,Site,UnitID,geometry
4,38.8999138,-120.643959,Blodgett,380,
6,38.8988647,-120.6439667,Blodgett,380,
10,38.89785,-120.6425629,Blodgett,380,
15,38.89674,-120.643692,Blodgett,380,
102,38.9008942,-120.6433487,Blodgett,380,
103,38.9003677,-120.6447525,Blodgett,380,
104,38.9003601,-120.6440582,Blodgett,380,
107,38.8999062,-120.6432648,Blodgett,380,
110,38.8995018,-120.642662,Blodgett,380,
112,38.8984146,-120.6426773,Blodgett,380,
113,38.898407,-120.641983,Blodgett,380,
114,38.8983231,-120.6439819,Blodgett,380,
117,38.8973236,-120.6439667,Blodgett,380,
118,38.897316,-120.6432724,Blodgett,380,
119,38.8973045,-120.6425781,Blodgett,380,
120,38.8972969,-120.6418762,Blodgett,380,
125,38.8962059,-120.6444016,Blodgett,380,
126,38.8961906,-120.6430054,Blodgett,380,
127,38.8956642,-120.6444092,Blodgett,380,
4,38.9064484,-120.6394806,Blodgett,180,
6,38.9074631,-120.6395035,Blodgett,180,
8,38.908493,-120.6395264,Blodgett,180,
10,38.9095802,-120.639595,Blodgett,180,
13,38.906353,-120.6408997,Blodgett,180,
18,38.9095001,-120.6408463,Blodgett,180,
23,38.9073677,-120.6407852,Blodgett,180,
101,38.9100533,-120.6415329,Blodgett,180,
102,38.9100456,-120.640831,Blodgett,180,
106,38.9089584,-120.6408539,Blodgett,180,
107,38.9089508,-120.6401596,Blodgett,180,
108,38.9090347,-120.6396027,Blodgett,180,
109,38.908474,-120.6414032,Blodgett,180,
110,38.9084587,-120.6400146,Blodgett,180,
111,38.9079323,-120.6414185,Blodgett,180,
114,38.9079475,-120.639534,Blodgett,180,
116,38.9068298,-120.6414871,Blodgett,180,
117,38.9068222,-120.6407928,Blodgett,180,
120,38.9063454,-120.6402054,Blodgett,180,
121,38.9058151,-120.6416092,Blodgett,180,
76,39.11178123385854,-120.17534058575932,UPFU,BLK 1-4 T,
77,39.11240585467756,-120.17583600580294,UPFU,BLK 1-4 T,
78,39.11323691896471,-120.17630006084808,UPFU,BLK 1-4 T,
79,39.11339227470351,-120.1752762183866,UPFU,BLK 1-4 T,
80,39.11266020922643,-120.17480821848476,UPFU,BLK 1-4 T,
81,39.11331669828608,-120.17438880644757,UPFU,BLK 1-4 T,
82,39.11144776751237,-120.17422066180892,UPFU,BLK 1-4 T,
84,39.11291688444099,-120.17276270101785,UPFU,BLK 1-4 T,
85,39.112952237048425,-120.17384830176906,UPFU,BLK 1-4 T,
2,39.054175882695006,-120.13907038210598,UPFU,MCK 13-1 T,
3,39.05430988408913,-120.1397582296492,UPFU,MCK 13-1 T,
4,39.05462416567097,-120.14045035741624,UPFU,MCK 13-1 T,
5,39.05435457274574,-120.14121227035012,UPFU,MCK 13-1 T,
6,39.05352334938771,-120.1422163639536,UPFU,MCK 13-1 T,
7,39.05320096119134,-120.14009185268009,UPFU,MCK 13-1 T,
8,39.05331089073224,-120.13833118409856,UPFU,MCK 13-1 T,
74,39.05385379662725,-120.13879453275848,UPFU,MCK 13-1 T,
75,39.05327009678433,-120.1414408972174,UPFU,MCK 13-1 T,
71,39.06837145345104,-120.16143684472496,UPFUb,MCK 13-3 C,
72,39.068746647199006,-120.1620458672028,UPFUb,MCK 13-3 C,
73,39.06926950323507,-120.16168976400614,UPFUb,MCK 13-3 C,
90,39.06888389897454,-120.16065355702132,UPFUb,MCK 13-3 C,
91,39.06965509734047,-120.16013724385164,UPFUb,MCK 13-3 C,
92,39.06798697541485,-120.1619260776494,UPFUb,MCK 13-3 C,
93,39.06706951803509,-120.16198596093592,UPFUb,MCK 13-3 C,
34,39.05979623817413,-120.16112187584372,UPFUb,MCK 13-3 T,
35,39.06004232344356,-120.16271819948996,UPFUb,MCK 13-3 T,
