Site,UnitID,TotalDepth,AWC_50cm,ppt_by_waterYr,tmax_by_waterYr,cwd_by_waterYr,pdsi_by_waterYr,rSDI,Treatment,BA_reduction
LaTour,156,101.66666666666669,0.1099999999999999,695.897,24.285917,484.53226,-0.6714272,0.3074383593155673,None,0.0
LaTour,159,142.125,0.104875,695.897,24.285917,484.53226,-0.6714272,0.5883786373914227,None,0.0
LaTour,181,101.66666666666669,0.1099999999999999,695.897,24.285917,484.53226,-0.6714272,0.4257523874087047,None,0.0
LaTour,190,104.44444444444444,0.0695555555555555,695.897,24.285917,484.53226,-0.6714272,0.6200007840883996,None,-11.764705882352937
LaTour,22,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.8507422555656443,None,-4.761904761904771
LaTour,23,144.46170647168103,0.0724225034695613,695.897,24.285917,484.53226,-0.6714272,0.8529967587176501,Thin,0.0
LaTour,47,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.2951141332217308,Thin,35.71428571428571
LaTour,64,160.0,0.18,695.897,24.285917,484.53226,-0.6714272,0.4041841803109426,Thin,0.0
LaTour,66,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.3043995481109171,None,0.0
LaTour,87,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.5972220646954178,Thin,5.882352941176481
LaTour,88,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.3306774258392392,Thin,-28.571428571428577
LaTour,99,142.125,0.07,695.897,24.285917,484.53226,-0.6714272,0.177579545092259,Thin,0.0
STEF,1,200.0,0.11,599.0313,25.35488,705.6452,-1.6405672,0.44141579327529,Burn+Thin,36.32912674213927
STEF,10,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.351252136214305,Thin,46.217522387095286
STEF,11,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.3734234386215673,Thin,42.10498750957848
STEF,12,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.534437391235696,None,-5.053014448101751
STEF,13,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.293363912908659,Burn+Thin,45.32274802666533
STEF,14,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.6645514655889114,Burn,-4.907067355046705
STEF,15,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.3082201761820988,Burn+Thin,46.42893402190311
STEF,16,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.6045548674910624,Burn,-1.991442156953449
STEF,17,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.3365995873801362,Burn+Thin,47.86104222930678
STEF,18,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.2595933556067496,Burn+Thin,49.854657348673
STEF,19,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.7184204846472374,Burn,-4.326714371117426
STEF,2,190.44817820609225,0.11,599.0313,25.35488,705.6452,-1.6405672,0.3932674543740639,Burn+Thin,37.15476902318942
STEF,20,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.7104944910533375,None,-4.843700507753017
STEF,21,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.3807877903186757,Thin,43.704603723419766
STEF,22,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.4391264177982643,Burn+Thin,30.550077251167902
STEF,23,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.343438702373639,Burn+Thin,36.1025378377709
STEF,24,123.28571428571428,0.12,599.0313,25.35488,705.6452,-1.6405672,0.3805663596085386,Thin,45.01840031734957
STEF,3,188.00000000000003,0.11,599.0313,25.35488,705.6452,-1.6405672,0.4239480497194685,Burn,11.538076261802948
STEF,4,158.07965319689546,0.1251112862641942,599.0313,25.35488,705.6452,-1.6405672,0.2682389823331222,Thin,46.24331680625451
STEF,5,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.3142399139464761,Thin,44.75567164625365
STEF,6,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.664846589275849,None,-5.605302490612161
STEF,7,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.6288372795162582,None,-5.902412088355828
STEF,8,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.4164252352533916,Thin,43.64496146970793
STEF,9,145.57142857142858,0.1314285714285714,599.0313,25.35488,705.6452,-1.6405672,0.3179446021037294,Thin,39.784838743176856
Sequoia,FFS2BURN,167.2520838595715,0.0970120974065714,452.98,21.914751,698.8483,-2.1460693,0.4241204910223936,Burn,21.67880620288088
Sequoia,FFS5BURN,163.8421052631579,0.1022105263157894,452.98,21.914751,698.8483,-2.1460693,0.3447996399209429,Burn,36.07301716586447
Sequoia,FFS6BURN,190.0,0.1078947368421052,452.98,21.914751,698.8483,-2.1460693,0.275711481327455,Burn,38.00990091540344
Sequoia,FFS7CONTROL,191.8367346938776,0.1055102040816326,452.98,21.914751,698.8483,-2.1460693,0.6200272440999091,None,2.4492501746101167
Teakettle,bc1,152.0,0.075,570.5294,23.081861,742.97253,-1.0419934,0.2303366404162072,Burn+Thin,45.55271597729112
Teakettle,bc2,151.85761915315777,0.0499999999999999,570.5294,23.081861,742.97253,-1.0419934,0.213734495941848,Burn+Thin,49.58448880300627
Teakettle,bc3,147.2945128248302,0.05,570.5294,23.081861,742.97253,-1.0419934,0.2297347535292095,Burn+Thin,34.878290645401954
Teakettle,bn1,152.0,0.075,570.5294,23.081861,742.97253,-1.0419934,0.3727693429411094,Burn,8.6699539687094
Teakettle,bn2,85.27448147458925,0.0705341188388504,570.5294,23.081861,742.97253,-1.0419934,0.3735138245905369,Burn,9.722337064623089
Teakettle,bn3,121.98691463509569,0.0718490199091964,570.5294,23.081861,742.97253,-1.0419934,0.395691746115276,Burn,1.3296014323826026
Teakettle,bs1,152.0,0.075,570.5294,23.081861,742.97253,-1.0419934,0.0806403182612501,Burn+Thin,72.18755776488976
Teakettle,bs2,152.0,0.075,570.5294,23.081861,742.97253,-1.0419934,0.1377991755867353,Burn+Thin,59.48364142077656
Teakettle,bs3,152.0,0.05,570.5294,23.081861,742.97253,-1.0419934,0.1220911480872544,Burn+Thin,77.05287690959696
Teakettle,uc1,148.50764400834666,0.0633404071671203,570.5294,23.081861,742.97253,-1.0419934,0.3428235333981987,Thin,28.559119826089624
Teakettle,uc2,146.11111940192927,0.0736092474632072,570.5294,23.081861,742.97253,-1.0419934,0.2877773691833685,Thin,43.78075390697775
