0060-00103-1,32.5,35.9,39.624,41.91
0060-00103-10,65.3,69.1,73.914,75.692
0060-00103-12,68.3,79.2,78.232,79.756
0060-00103-15,26.7,29.0,34.036,35.814
0060-00103-16,52.8,53.8,57.404,58.928
0060-00103-4,48.8,51.5,55.372,56.642
0060-00103-5,28.4,31.0,33.782,35.56
0060-00103-7,55.4,55.0,,
0060-00103-8,21.3,21.0,21.59,21.59
0060-00103-9,40.9,44.0,48.768,49.784
0060-00104-1,22.6,24.1,28.194,28.448
0060-00104-10,47.5,53.1,59.182,60.96
0060-00104-11,36.1,39.9,44.45,44.196
0060-00104-12,21.1,24.2,27.178,27.94
0060-00104-15,15.494,17.78,,
0060-00104-2,58.2,66.5,71.374,73.406
0060-00104-3,51.1,52.4,55.626,56.896
0060-00104-5,63.0,69.1,75.184,76.962
0060-00104-7,39.4,43.0,47.498,49.022
0060-00104-8,18.8,19.1,,
0060-00105-1,19.8,21.0,22.098,22.352
0060-00105-10,26.7,28.2,28.448,29.21
0060-00105-13,18.0,18.6,,
0060-00105-14,16.5,17.1,,
0060-00105-16,65.8,73.4,75.946,78.994
0060-00105-17,46.0,49.4,53.086,54.102
0060-00105-18,40.6,43.2,46.99,49.022
0060-00105-2,26.7,28.2,30.988,31.496
0060-00105-3,29.0,30.7,,
0060-00105-4,31.8,35.7,39.878,
0060-00105-5,26.9,28.1,30.226,32.004
0060-00105-6,23.9,24.3,24.384,24.892
0060-00105-7,49.8,55.1,59.69,61.976
0060-00105-8,71.1,75.3,76.962,78.74
0060-00105-9,43.7,46.1,49.022,50.8
0060-00106-1,24.1,27.4,29.464,30.48
0060-00106-10,45.7,48.8,52.324,53.848
0060-00106-11,47.5,52.0,57.912,60.706
0060-00106-12,43.9,48.8,51.562,55.118
0060-00106-13,50.3,53.9,54.61,
0060-00106-15,52.3,54.1,57.658,58.42
0060-00106-17,59.9,63.5,68.072,69.85
0060-00106-19,22.9,25.6,25.908,
0060-00106-2,34.5,33.2,,
0060-00106-20,26.9,31.1,33.02,34.544
0060-00106-3,48.5,54.1,63.246,66.548
0060-00106-4,16.8,17.1,17.526,17.018
0060-00106-5,39.6,37.9,,
0060-00106-6,21.6,24.7,24.638,
0060-00106-7,23.9,25.7,27.94,27.94
0060-00106-8,47.2,50.7,55.626,57.15
0060-00106-9,17.0,17.4,17.526,17.272
0060-00107-10,27.7,38.0,36.83,40.386
0060-00107-11,35.1,31.6,42.926,44.958
0060-00107-3,37.6,40.9,44.704,47.498
0060-00107-4,19.3,20.7,22.098,22.606
0060-00107-5,17.5,18.2,18.542,
0060-00107-6,29.0,31.5,34.544,
0060-00107-7,20.1,20.7,22.098,22.86
0060-00107-8,75.2,79.4,82.55,84.582
0060-00107-9,21.1,23.9,,
0060-00108-10,39.9,41.9,41.91,
0060-00108-13,65.0,68.4,,
0060-00108-4,32.3,36.0,35.814,
0060-00108-8,38.9,39.8,42.672,43.18
0060-00109-1,32.0,33.3,33.274,33.274
0060-00109-10,71.6,76.6,82.296,84.074
0060-00109-12,45.0,45.0,,
0060-00109-13,23.6,24.8,,
0060-00109-14,48.5,53.1,57.404,59.69
0060-00109-16,65.3,70.1,75.946,77.978
0060-00109-17,79.0,82.6,87.122,89.662
0060-00109-5,64.3,66.6,70.104,70.612
0060-00109-6,50.8,52.9,55.118,56.134
0060-00109-9,36.3,39.2,42.672,43.18
0060-00111-10,73.2,76.5,80.518,81.788
0060-00111-12,42.9,44.3,46.736,48.26
0060-00111-13,43.4,42.0,44.45,45.974
0060-00111-2,36.1,37.3,36.576,
0060-00111-4,65.8,72.0,80.01,83.82
0060-00111-5,46.0,48.2,51.562,54.864
0060-00111-6,33.8,35.9,37.592,38.862
0060-00111-7,42.7,46.2,51.054,53.34
0060-00111-9,45.0,45.1,,
0060-00112-1,51.8,57.1,61.976,62.23
0060-00112-2,25.4,24.7,,
0060-00112-3,58.2,60.9,63.754,65.532
0060-00112-4,69.9,72.2,75.184,75.946
0060-00112-5,25.1,25.7,26.416,26.67
0060-00112-6,53.8,56.3,60.96,62.484
0060-00112-7,42.7,44.9,47.752,49.276
0060-00112-8,23.6,24.3,24.638,24.638
0060-00112-9,42.7,44.8,49.022,50.292
0060-00113-1,52.1,53.3,,
0060-00113-2,52.6,56.4,62.738,62.992
0060-00113-3,78.0,82.1,89.662,92.71
0060-00113-4,56.4,66.4,74.168,76.962
0060-00113-5,62.7,67.3,72.644,74.168
0060-00114-10,61.7,64.3,68.072,69.596
0060-00114-12,62.2,65.9,70.104,72.644
0060-00114-14,83.3,87.1,91.694,94.234
0060-00114-3,87.4,92.2,99.06,101.6
0060-00114-5,49.3,50.9,,
0060-00114-6,60.5,59.0,,
0060-00116-1,31.8,35.7,40.64,44.196
0060-00116-10,50.8,57.1,63.246,63.754
0060-00116-11,49.3,52.6,56.388,58.928
0060-00116-2,51.1,51.3,,
0060-00116-4,16.0,17.7,20.32,21.082
0060-00116-5,25.9,28.6,32.512,34.29
0060-00116-6,22.6,24.9,27.178,28.702
0060-00116-7,79.0,82.4,86.106,87.63
0060-00116-8,51.6,53.9,57.912,58.928
0060-00117-1,16.5,21.59,23.876,
0060-00117-13,20.3,21.1,22.098,
0060-00117-2,40.4,40.8,40.894,41.148
0060-00117-3,68.1,71.9,75.946,78.74
0060-00117-5,37.1,40.1,44.196,45.466
0060-00117-6,108.7,116.2,124.206,126.746
0060-00117-8,30.5,33.2,35.814,36.322
0060-00117-9,27.7,30.5,32.512,33.782
0060-00119-1,68.8,71.2,77.724,79.502
0060-00119-12,57.7,58.9,61.468,63.5
0060-00119-14,54.9,57.3,62.738,63.5
0060-00119-18,23.1,22.6,,
0060-00119-19,53.8,57.5,61.468,63.5
0060-00119-2,22.9,24.5,27.178,29.21
0060-00119-3,31.0,33.2,35.814,36.576
0060-00119-4,15.0,16.3,17.018,
0060-00119-5,17.8,19.4,20.32,20.574
0060-00119-6,48.0,51.0,54.102,54.102
0060-00119-7,65.0,72.5,75.438,76.708
0060-00119-8,21.3,22.0,22.86,23.622
0060-00119-9,55.1,58.1,61.468,63.754
0060-00130-1,15.7,18.5,21.336,23.368
0060-00130-10,37.6,39.6,42.926,44.704
