"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"FFS2BURN_5476",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5479",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5480",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5483",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5487",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5489",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5490",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5493",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5494",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5495",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5496",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5498",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_5500",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_8417",1,15,"FFS2BURN",4,"fir"
"FFS2BURN_9012",1,16,"FFS2BURN",4,"fir"
"FFS2BURN_9071",1,16,"FFS2BURN",4,"fir"
"FFS5BURN_1579",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_1581",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_1584",1,4,"FFS5BURN",2,"fir"
"FFS5BURN_1586",1,12,"FFS5BURN",4,"fir"
"FFS5BURN_1588",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_1590",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_1592",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_1599",1,6,"FFS5BURN",2,"white_pine"
"FFS5BURN_4045",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4063",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4069",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4074",1,11,"FFS5BURN",3,"fir"
"FFS5BURN_4103",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4108",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4112",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4114",6,16,"FFS5BURN",3,"white_pine"
"FFS5BURN_4116",1,6,"FFS5BURN",2,"cedar"
"FFS5BURN_4123",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4125",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4128",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4130",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4135",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4136",1,12,"FFS5BURN",4,"cedar"
"FFS5BURN_4140",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4148",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4202",1,10,"FFS5BURN",3,"fir"
"FFS5BURN_4205",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4207",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4209",1,11,"FFS5BURN",3,"fir"
"FFS5BURN_4213",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4214",1,5,"FFS5BURN",2,"fir"
"FFS5BURN_4215",1,11,"FFS5BURN",3,"fir"
"FFS5BURN_4220",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4224",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4227",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4235",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4237",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4238",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4239",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4240",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4243",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4248",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4249",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4250",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4254",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4256",1,12,"FFS5BURN",4,"fir"
"FFS5BURN_4262",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4281",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4282",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4286",1,12,"FFS5BURN",4,"white_pine"
"FFS5BURN_4319",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4320",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4324",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4325",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4332",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4347",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4348",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4349",1,10,"FFS5BURN",3,"fir"
"FFS5BURN_4351",1,13,"FFS5BURN",4,"fir"
"FFS5BURN_4353",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4356",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4358",1,11,"FFS5BURN",3,"fir"
"FFS5BURN_4359",1,2,"FFS5BURN",2,"fir"
"FFS5BURN_4361",1,3,"FFS5BURN",2,"cedar"
"FFS5BURN_4362",1,4,"FFS5BURN",2,"fir"
"FFS5BURN_4363",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4365",1,10,"FFS5BURN",3,"fir"
"FFS5BURN_4368",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4371",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4385",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4386",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4387",1,4,"FFS5BURN",2,"fir"
"FFS5BURN_4388",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4391",1,13,"FFS5BURN",4,"fir"
"FFS5BURN_4395",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4396",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4400",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4439",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4441",1,16,"FFS5BURN",4,"fir"
"FFS5BURN_4453",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4454",1,11,"FFS5BURN",3,"cedar"
"FFS5BURN_4469",1,16,"FFS5BURN",4,"white_pine"
"FFS5BURN_4474",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4491",1,16,"FFS5BURN",4,"cedar"
"FFS5BURN_4492",1,11,"FFS5BURN",3,"cedar"
"FFS5BURN_4497",1,16,"FFS5BURN",4,"fir"
"FFS6BURN_1351",1,13,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_1353",1,13,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_1354",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_1355",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_1356",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_1357",11,16,"FFS6BURN",2,"fir"
